service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
daily,1,1,1,1,1,1,1,20250101,20261231
daily_summer,1,1,1,1,1,1,1,20250501,20250914
daily_winter,1,1,1,1,1,1,1,20250915,20260430
sat,0,0,0,0,0,1,0,20250101,20261231
sat_summer,0,0,0,0,0,1,0,20250501,20250914
sat_winter,0,0,0,0,0,1,0,20250915,20260430
school,1,1,1,1,1,0,0,20250101,20261231
school_summer,1,1,1,1,1,0,0,20250501,20250914
sun,0,0,0,0,0,0,1,20250101,20261231
sun_summer,0,0,0,0,0,0,1,20250501,20250914
sun_winter,0,0,0,0,0,0,1,20250915,20260430
weekdays,1,1,1,1,1,0,0,20250101,20261231
weekdays_sat,1,1,1,1,1,1,0,20250101,20261231
weekdays_sat_summer,1,1,1,1,1,1,0,20250501,20250914
weekdays_sat_winter,1,1,1,1,1,1,0,20250915,20260430
weekdays_summer,1,1,1,1,1,0,0,20250501,20250914
weekdays_sun,1,1,1,1,1,0,1,20250101,20261231
weekdays_winter,1,1,1,1,1,0,0,20250915,20260430
weekend,0,0,0,0,0,1,1,20250101,20261231
weekend_summer,0,0,0,0,0,1,1,20250501,20250914
