service_id,date,exception_type
school_summer,20250101,2
weekdays,20250101,2
weekdays_sun,20250101,2
daily_summer,20250101,2
weekdays_winter,20250101,2
daily_winter,20250101,2
daily,20250101,2
weekdays_sat_winter,20250101,2
weekdays_sat_summer,20250101,2
weekdays_sat,20250101,2
school,20250101,2
weekdays_summer,20250101,2
school_summer,20250425,2
weekdays,20250425,2
weekdays_sun,20250425,2
daily_summer,20250425,2
weekdays_winter,20250425,2
daily_winter,20250425,2
daily,20250425,2
weekdays_sat_winter,20250425,2
weekdays_sat_summer,20250425,2
weekdays_sat,20250425,2
school,20250425,2
weekdays_summer,20250425,2
school_summer,20250605,2
weekdays,20250605,2
weekdays_sun,20250605,2
daily_summer,20250605,2
weekdays_winter,20250605,2
daily_winter,20250605,2
daily,20250605,2
weekdays_sat_winter,20250605,2
weekdays_sat_summer,20250605,2
weekdays_sat,20250605,2
school,20250605,2
weekdays_summer,20250605,2
school_summer,20251224,2
weekdays,20251224,2
weekdays_sun,20251224,2
daily_summer,20251224,2
weekdays_winter,20251224,2
daily_winter,20251224,2
daily,20251224,2
weekdays_sat_winter,20251224,2
weekdays_sat_summer,20251224,2
weekdays_sat,20251224,2
school,20251224,2
weekdays_summer,20251224,2
school_summer,20251225,2
weekdays,20251225,2
weekdays_sun,20251225,2
daily_summer,20251225,2
weekdays_winter,20251225,2
daily_winter,20251225,2
daily,20251225,2
weekdays_sat_winter,20251225,2
weekdays_sat_summer,20251225,2
weekdays_sat,20251225,2
school,20251225,2
weekdays_summer,20251225,2
school_summer,20251226,2
weekdays,20251226,2
weekdays_sun,20251226,2
daily_summer,20251226,2
weekdays_winter,20251226,2
daily_winter,20251226,2
daily,20251226,2
weekdays_sat_winter,20251226,2
weekdays_sat_summer,20251226,2
weekdays_sat,20251226,2
school,20251226,2
weekdays_summer,20251226,2
school_summer,20251231,2
weekdays,20251231,2
weekdays_sun,20251231,2
daily_summer,20251231,2
weekdays_winter,20251231,2
daily_winter,20251231,2
daily,20251231,2
weekdays_sat_winter,20251231,2
weekdays_sat_summer,20251231,2
weekdays_sat,20251231,2
school,20251231,2
weekdays_summer,20251231,2
school_summer,20250417,2
weekdays,20250417,2
weekdays_sun,20250417,2
daily_summer,20250417,2
weekdays_winter,20250417,2
daily_winter,20250417,2
daily,20250417,2
weekdays_sat_winter,20250417,2
weekdays_sat_summer,20250417,2
weekdays_sat,20250417,2
school,20250417,2
weekdays_summer,20250417,2
school_summer,20250418,2
weekdays,20250418,2
weekdays_sun,20250418,2
daily_summer,20250418,2
weekdays_winter,20250418,2
daily_winter,20250418,2
daily,20250418,2
weekdays_sat_winter,20250418,2
weekdays_sat_summer,20250418,2
weekdays_sat,20250418,2
school,20250418,2
weekdays_summer,20250418,2
school_summer,20250420,2
weekdays,20250420,2
weekdays_sun,20250420,2
daily_summer,20250420,2
weekdays_winter,20250420,2
daily_winter,20250420,2
daily,20250420,2
weekdays_sat_winter,20250420,2
weekdays_sat_summer,20250420,2
weekdays_sat,20250420,2
school,20250420,2
weekdays_summer,20250420,2
school_summer,20250421,2
weekdays,20250421,2
weekdays_sun,20250421,2
daily_summer,20250421,2
weekdays_winter,20250421,2
daily_winter,20250421,2
daily,20250421,2
weekdays_sat_winter,20250421,2
weekdays_sat_summer,20250421,2
weekdays_sat,20250421,2
school,20250421,2
weekdays_summer,20250421,2
school_summer,20260101,2
weekdays,20260101,2
weekdays_sun,20260101,2
daily_summer,20260101,2
weekdays_winter,20260101,2
daily_winter,20260101,2
daily,20260101,2
weekdays_sat_winter,20260101,2
weekdays_sat_summer,20260101,2
weekdays_sat,20260101,2
school,20260101,2
weekdays_summer,20260101,2
school_summer,20260425,2
weekdays,20260425,2
weekdays_sun,20260425,2
daily_summer,20260425,2
weekdays_winter,20260425,2
daily_winter,20260425,2
daily,20260425,2
weekdays_sat_winter,20260425,2
weekdays_sat_summer,20260425,2
weekdays_sat,20260425,2
school,20260425,2
weekdays_summer,20260425,2
school_summer,20260605,2
weekdays,20260605,2
weekdays_sun,20260605,2
daily_summer,20260605,2
weekdays_winter,20260605,2
daily_winter,20260605,2
daily,20260605,2
weekdays_sat_winter,20260605,2
weekdays_sat_summer,20260605,2
weekdays_sat,20260605,2
school,20260605,2
weekdays_summer,20260605,2
school_summer,20261224,2
weekdays,20261224,2
weekdays_sun,20261224,2
daily_summer,20261224,2
weekdays_winter,20261224,2
daily_winter,20261224,2
daily,20261224,2
weekdays_sat_winter,20261224,2
weekdays_sat_summer,20261224,2
weekdays_sat,20261224,2
school,20261224,2
weekdays_summer,20261224,2
school_summer,20261225,2
weekdays,20261225,2
weekdays_sun,20261225,2
daily_summer,20261225,2
weekdays_winter,20261225,2
daily_winter,20261225,2
daily,20261225,2
weekdays_sat_winter,20261225,2
weekdays_sat_summer,20261225,2
weekdays_sat,20261225,2
school,20261225,2
weekdays_summer,20261225,2
school_summer,20261226,2
weekdays,20261226,2
weekdays_sun,20261226,2
daily_summer,20261226,2
weekdays_winter,20261226,2
daily_winter,20261226,2
daily,20261226,2
weekdays_sat_winter,20261226,2
weekdays_sat_summer,20261226,2
weekdays_sat,20261226,2
school,20261226,2
weekdays_summer,20261226,2
school_summer,20261231,2
weekdays,20261231,2
weekdays_sun,20261231,2
daily_summer,20261231,2
weekdays_winter,20261231,2
daily_winter,20261231,2
daily,20261231,2
weekdays_sat_winter,20261231,2
weekdays_sat_summer,20261231,2
weekdays_sat,20261231,2
school,20261231,2
weekdays_summer,20261231,2
school_summer,20260402,2
weekdays,20260402,2
weekdays_sun,20260402,2
daily_summer,20260402,2
weekdays_winter,20260402,2
daily_winter,20260402,2
daily,20260402,2
weekdays_sat_winter,20260402,2
weekdays_sat_summer,20260402,2
weekdays_sat,20260402,2
school,20260402,2
weekdays_summer,20260402,2
school_summer,20260403,2
weekdays,20260403,2
weekdays_sun,20260403,2
daily_summer,20260403,2
weekdays_winter,20260403,2
daily_winter,20260403,2
daily,20260403,2
weekdays_sat_winter,20260403,2
weekdays_sat_summer,20260403,2
weekdays_sat,20260403,2
school,20260403,2
weekdays_summer,20260403,2
school_summer,20260405,2
weekdays,20260405,2
weekdays_sun,20260405,2
daily_summer,20260405,2
weekdays_winter,20260405,2
daily_winter,20260405,2
daily,20260405,2
weekdays_sat_winter,20260405,2
weekdays_sat_summer,20260405,2
weekdays_sat,20260405,2
school,20260405,2
weekdays_summer,20260405,2
school_summer,20260406,2
weekdays,20260406,2
weekdays_sun,20260406,2
daily_summer,20260406,2
weekdays_winter,20260406,2
daily_winter,20260406,2
daily,20260406,2
weekdays_sat_winter,20260406,2
weekdays_sat_summer,20260406,2
weekdays_sat,20260406,2
school,20260406,2
weekdays_summer,20260406,2
