trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
100_0001,06:45,06:45,torshavn,1,0,0
100_0001,07:05,07:05,kollafj_r_ur_tunnel,2,0,0
100_0001,07:20,07:20,kollafjar_adalur_vi_effo,3,0,0
100_0001,07:25,07:25,kvivik,4,0,0
100_0001,07:50,07:50,vestmanna,5,0,0
100_0002,07:50,07:50,torshavn,1,0,0
100_0002,08:10,08:10,kollafj_r_ur_tunnel,2,0,0
100_0002,08:25,08:25,kollafjar_adalur_vi_effo,3,0,0
100_0002,08:30,08:30,kvivik,4,0,0
100_0002,08:55,08:55,vestmanna,5,0,0
100_0003,09:15,09:15,torshavn,1,0,0
100_0003,09:35,09:35,kollafj_r_ur_tunnel,2,0,0
100_0003,09:40,09:40,kollafjar_adalur_vi_effo,3,0,0
100_0003,09:45,09:45,kvivik,4,0,0
100_0003,10:10,10:10,vestmanna,5,0,0
100_0004,13:15,13:15,torshavn,1,0,0
100_0004,13:35,13:35,kollafj_r_ur_tunnel,2,0,0
100_0004,13:40,13:40,kollafjar_adalur_vi_effo,3,0,0
100_0004,13:45,13:45,kvivik,4,0,0
100_0004,14:10,14:10,vestmanna,5,0,0
100_0005,15:25,15:25,torshavn,1,0,0
100_0005,15:45,15:45,kollafj_r_ur_tunnel,2,0,0
100_0005,15:50,15:50,kollafjar_adalur_vi_effo,3,0,0
100_0005,15:55,15:55,kvivik,4,0,0
100_0005,16:20,16:20,vestmanna,5,0,0
100_0006,16:30,16:30,torshavn,1,0,0
100_0006,16:50,16:50,kollafj_r_ur_tunnel,2,0,0
100_0006,16:55,16:55,kollafjar_adalur_vi_effo,3,0,0
100_0006,17:00,17:00,kvivik,4,0,0
100_0006,17:25,17:25,vestmanna,5,0,0
100_0007,17:45,17:45,torshavn,1,0,0
100_0007,18:05,18:05,kollafj_r_ur_tunnel,2,0,0
100_0007,18:15,18:15,kollafjar_adalur_vi_effo,3,0,0
100_0007,18:20,18:20,kvivik,4,0,0
100_0007,18:45,18:45,vestmanna,5,0,0
100_0008,19:00,19:00,torshavn,1,0,0
100_0008,19:20,19:20,kollafj_r_ur_tunnel,2,0,0
100_0008,19:25,19:25,kollafjar_adalur_vi_effo,3,0,0
100_0008,19:30,19:30,kvivik,4,0,0
100_0008,19:55,19:55,vestmanna,5,0,0
100_0009,10:15,10:15,torshavn,1,0,0
100_0009,10:35,10:35,kollafj_r_ur_tunnel,2,0,0
100_0009,10:40,10:40,kollafjar_adalur_vi_effo,3,0,0
100_0009,10:45,10:45,kvivik,4,0,0
100_0009,11:10,11:10,vestmanna,5,0,0
100_0010,15:25,15:25,torshavn,1,0,0
100_0010,15:45,15:45,kollafj_r_ur_tunnel,2,0,0
100_0010,15:50,15:50,kollafjar_adalur_vi_effo,3,0,0
100_0010,15:55,15:55,kvivik,4,0,0
100_0010,16:20,16:20,vestmanna,5,0,0
