table_name,field_name,language,record_id,translation
stops,stop_name,fo,b_ur,Bøur
stops,stop_name,en,b_ur,Bøur
stops,stop_name,fo,dalur,Dalur
stops,stop_name,en,dalur,Dalur
stops,stop_name,fo,ei_i,Eiði
stops,stop_name,en,ei_i,Eiði
stops,stop_name,fo,ferjulega,Ferjulega
stops,stop_name,en,ferjulega,Ferjulega
stops,stop_name,fo,fuglafj_r_ur,Fuglafjørður
stops,stop_name,en,fuglafj_r_ur,Fuglafjørður
stops,stop_name,fo,funningur,Funningur
stops,stop_name,en,funningur,Funningur
stops,stop_name,fo,famjin,Fámjin
stops,stop_name,en,famjin,Fámjin
stops,stop_name,fo,gamlar_tt,Gamlarætt
stops,stop_name,en,gamlar_tt,Gamlarætt
stops,stop_name,fo,gjogv,Gjógv
stops,stop_name,en,gjogv,Gjógv
stops,stop_name,fo,glasir,Glasir
stops,stop_name,en,glasir,Glasir
stops,stop_name,fo,glyvrar,Glyvrar
stops,stop_name,en,glyvrar,Glyvrar
stops,stop_name,fo,g_tudalur,Gøtudalur
stops,stop_name,en,g_tudalur,Gøtudalur
stops,stop_name,fo,haraldssund,Haraldssund
stops,stop_name,en,haraldssund,Haraldssund
stops,stop_name,fo,hattarvik,Hattarvík
stops,stop_name,en,hattarvik,Hattarvík
stops,stop_name,fo,hellurnar,Hellurnar
stops,stop_name,en,hellurnar,Hellurnar
stops,stop_name,fo,hestur,Hestur
stops,stop_name,en,hestur,Hestur
stops,stop_name,fo,hov,Hov
stops,stop_name,en,hov,Hov
stops,stop_name,fo,hvalba,Hvalba
stops,stop_name,en,hvalba,Hvalba
stops,stop_name,fo,hvalvik,Hvalvík
stops,stop_name,en,hvalvik,Hvalvík
stops,stop_name,fo,hvannasund,Hvannasund
stops,stop_name,en,hvannasund,Hvannasund
stops,stop_name,fo,hosvik,Hósvík
stops,stop_name,en,hosvik,Hósvík
stops,stop_name,fo,husar,Húsar
stops,stop_name,en,husar,Húsar
stops,stop_name,fo,husavik,Húsavík
stops,stop_name,en,husavik,Húsavík
stops,stop_name,fo,inni_i_dal,Inni í Dal
stops,stop_name,en,inni_i_dal,Inni í Dal
stops,stop_name,fo,kambsdalur,Kambsdalur
stops,stop_name,en,kambsdalur,Kambsdalur
stops,stop_name,fo,kirkja,Kirkja
stops,stop_name,en,kirkja,Kirkja
stops,stop_name,fo,klaksvik,Klaksvík
stops,stop_name,en,klaksvik,Klaksvík
stops,stop_name,fo,kollafjar_adalur,Kollafjarðadalur
stops,stop_name,en,kollafjar_adalur,Kollafjarðadalur
stops,stop_name,fo,kollafjar_adalur_vi_effo,Kollafjarðadalur við Effo
stops,stop_name,en,kollafjar_adalur_vi_effo,Kollafjarðadalur við Effo
stops,stop_name,fo,kollafj_r_ur_tunnel,Kollafjørður Tunnel
stops,stop_name,en,kollafj_r_ur_tunnel,Kollafjørður Tunnel
stops,stop_name,fo,kunoy,Kunoy
stops,stop_name,en,kunoy,Kunoy
stops,stop_name,fo,kvivik,Kvívík
stops,stop_name,en,kvivik,Kvívík
stops,stop_name,fo,leirvik,Leirvík
stops,stop_name,en,leirvik,Leirvík
stops,stop_name,fo,lopra,Lopra
stops,stop_name,en,lopra,Lopra
stops,stop_name,fo,mikladalur,Mikladalur
stops,stop_name,en,mikladalur,Mikladalur
stops,stop_name,fo,mi_vagur,Miðvágur
stops,stop_name,en,mi_vagur,Miðvágur
stops,stop_name,fo,mykines,Mykines
stops,stop_name,en,mykines,Mykines
stops,stop_name,fo,nes,Nes
stops,stop_name,en,nes,Nes
stops,stop_name,fo,nor_skala,Norðskála
stops,stop_name,en,nor_skala,Norðskála
stops,stop_name,fo,nolsoy,Nólsoy
stops,stop_name,en,nolsoy,Nólsoy
stops,stop_name,fo,oyndarfj_r_ur,Oyndarfjørður
stops,stop_name,en,oyndarfj_r_ur,Oyndarfjørður
stops,stop_name,fo,oyrarbakki,Oyrarbakki
stops,stop_name,en,oyrarbakki,Oyrarbakki
stops,stop_name,fo,oyri,Oyri
stops,stop_name,en,oyri,Oyri
stops,stop_name,fo,porkeri,Porkeri
stops,stop_name,en,porkeri,Porkeri
stops,stop_name,fo,pals_h_ll,Páls Høll
stops,stop_name,en,pals_h_ll,Páls Høll
stops,stop_name,fo,rituvik,Rituvík
stops,stop_name,en,rituvik,Rituvík
stops,stop_name,fo,runavik,Runavík
stops,stop_name,en,runavik,Runavík
stops,stop_name,fo,sandavagur,Sandavágur
stops,stop_name,en,sandavagur,Sandavágur
stops,stop_name,fo,sandur,Sandur
stops,stop_name,en,sandur,Sandur
stops,stop_name,fo,sandvik,Sandvík
stops,stop_name,en,sandvik,Sandvík
stops,stop_name,fo,selatra,Selatrað
stops,stop_name,en,selatra,Selatrað
stops,stop_name,fo,skopun,Skopun
stops,stop_name,en,skopun,Skopun
stops,stop_name,fo,skala,Skála
stops,stop_name,en,skala,Skála
stops,stop_name,fo,skalafj_r_ur,Skálafjørður
stops,stop_name,en,skalafj_r_ur,Skálafjørður
stops,stop_name,fo,skalavik,Skálavík
stops,stop_name,en,skalavik,Skálavík
stops,stop_name,fo,skuvoy,Skúvoy
stops,stop_name,en,skuvoy,Skúvoy
stops,stop_name,fo,strendur,Strendur
stops,stop_name,en,strendur,Strendur
stops,stop_name,fo,sumba,Sumba
stops,stop_name,en,sumba,Sumba
stops,stop_name,fo,svinoy,Svínoy
stops,stop_name,en,svinoy,Svínoy
stops,stop_name,fo,svinair,Svínáir
stops,stop_name,en,svinair,Svínáir
stops,stop_name,fo,sy_radalur_harbour,Syðradalur (Harbour)
stops,stop_name,en,sy_radalur_harbour,Syðradalur (Harbour)
stops,stop_name,fo,s_ldarfj_r_ur,Søldarfjørður
stops,stop_name,en,s_ldarfj_r_ur,Søldarfjørður
stops,stop_name,fo,s_rvagur,Sørvágur
stops,stop_name,en,s_rvagur,Sørvágur
stops,stop_name,fo,tj_rnuvik,Tjørnuvík
stops,stop_name,en,tj_rnuvik,Tjørnuvík
stops,stop_name,fo,toftir,Toftir
stops,stop_name,en,toftir,Toftir
stops,stop_name,fo,tra_ir,Traðir
stops,stop_name,en,tra_ir,Traðir
stops,stop_name,fo,tr_llanes,Trøllanes
stops,stop_name,en,tr_llanes,Trøllanes
stops,stop_name,fo,tv_royri,Tvøroyri
stops,stop_name,en,tv_royri,Tvøroyri
stops,stop_name,fo,torshavn,Tórshavn
stops,stop_name,en,torshavn,Tórshavn
stops,stop_name,fo,vestmanna,Vestmanna
stops,stop_name,en,vestmanna,Vestmanna
stops,stop_name,fo,vi_arei_i,Viðareiði
stops,stop_name,en,vi_arei_i,Viðareiði
stops,stop_name,fo,vaga_airport_fl_gv_llurin,Vága Airport (Fløgvøllurin)
stops,stop_name,en,vaga_airport_fl_gv_llurin,Vága Airport (Fløgvøllurin)
stops,stop_name,fo,vagur,Vágur
stops,stop_name,en,vagur,Vágur
stops,stop_name,fo,uvik,Æðuvík
stops,stop_name,en,uvik,Æðuvík
stops,stop_name,fo,ravik,Øravík
stops,stop_name,en,ravik,Øravík
